truth,n,plugin_estimate,indirect_estimate,indirect_variance,indirect_lower,indirect_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,1.500000000000000000e+03,1.007711910923965171e+00,1.081528980335513035e+00,6.976938452897456067e+00,9.478562287849424672e-01,1.215201731886083714e+00,1.014984860899953878e+00,1.023233592330801134e+00,9.637933631143644764e-01,1.066176358685543279e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.019057093624898380e+00,1.014466792353509117e+00,1.363806830053226227e+00,9.553668751604905696e-01,1.073566709546527775e+00,1.031450771938550837e+00,9.752885584764265925e-01,9.814729866985528739e-01,1.081428557178548910e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.003730530185789060e+00,9.798109047711923703e-01,1.912002221619350850e+00,9.098340146117838145e-01,1.049787794930600926e+00,9.807814966359913456e-01,8.262110538253331082e-01,9.347816967496483942e-01,1.026781296522334408e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.019935894540316079e+00,1.026682049219921566e+00,2.252529359609138471e+00,9.507289198664645724e-01,1.102635178573378560e+00,1.011880766829432288e+00,9.607866433999444622e-01,9.622759420016985255e-01,1.061485591657165939e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.002509951479525929e+00,1.037955820966445675e+00,1.779175499961593632e+00,9.704533242192761033e-01,1.105458317713615246e+00,1.006855947750233682e+00,1.117115963365974851e+00,9.533675522183258089e-01,1.060344343282141555e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.009311988792604087e+00,9.970193661888346881e-01,2.455051856074746741e+00,9.177252839788035965e-01,1.076313448398865669e+00,1.011858798578604723e+00,8.827020098662213821e-01,9.643124139203780310e-01,1.059405183236831416e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.011044192582633894e+00,9.405934294754765279e-01,1.953474499778374396e+00,8.698616938431188439e-01,1.011325165107834101e+00,9.824277374008073549e-01,9.040203974475216064e-01,9.343106249989850953e-01,1.030544849802629725e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.023113148280462292e+00,1.020885553072412577e+00,1.380416439801366524e+00,9.614268402533987512e-01,1.080344265891426403e+00,1.042671573024711806e+00,9.739923691672504047e-01,9.927270098545133425e-01,1.092616136194910270e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.001500991488686543e+00,9.974576240188547382e-01,1.899391183996114174e+00,9.277118897529300634e-01,1.067203358284779524e+00,1.008426472386628747e+00,9.776060217592621449e-01,9.583893442170360322e-01,1.058463600556221573e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.003521901860501275e+00,9.711871187079081924e-01,1.489658052734776694e+00,9.094205129764078022e-01,1.032953724439408472e+00,9.715865523371176593e-01,9.969920815865386254e-01,9.210557381038015912e-01,1.022117366570433727e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.033122699365778718e+00,1.006804386742297552e+00,3.269674531810239149e+00,9.152956196526457200e-01,1.098313153831949274e+00,1.011439923322176249e+00,8.780921786235349469e-01,9.640178545257450660e-01,1.058861992118607320e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.000102719322466971e+00,9.696652270853640676e-01,1.373372791881784627e+00,9.103584038843581805e-01,1.028972050286369955e+00,1.005020632589576746e+00,9.849272840527978357e-01,9.547964906230069770e-01,1.055244774556146403e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.868078061515772603e-01,1.002782393448659271e+00,1.466721165328440879e+00,9.414931555204784086e-01,1.064071631376840132e+00,9.937022109067761289e-01,9.051073839646176511e-01,9.455561793898831224e-01,1.041848242423669024e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.019713595193487032e+00,1.035701733710091998e+00,1.338152230798817177e+00,9.771603203924713599e-01,1.094243147027712748e+00,1.037898522838831994e+00,8.255080355830721750e-01,9.919182976001786889e-01,1.083878748077485188e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.989261483425186938e-01,9.394630523462900173e-01,2.164191278052166822e+00,8.650141561656874423e-01,1.013911948526892592e+00,9.308520478399483489e-01,8.814865299978013047e-01,8.833384101230461471e-01,9.783656855568505506e-01
1.000000000000000000e+00,1.500000000000000000e+03,9.891652515760426256e-01,9.889488561198370720e-01,1.330895809751191594e+00,9.305663853331350710e-01,1.047331326906539184e+00,9.351779167761830047e-01,8.353999303623292905e-01,8.889230260619394031e-01,9.814328074904266064e-01
